Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Análise e Projeto de Algoritmos II,Computação Orientada a Objetos II.2,Linguagens Formais e Autônomas.2,,
08h50-09h45,Análise e Projeto de Algoritmos II,Computação Orientada a Objetos II.2,Linguagens Formais e Autônomas.2,,
10h10-11h05,Engenharia de Software II.1,Linguagens Formais e Autônomas.1,Computação Orientada a Objetos II.1,,
11h05-12h00,Engenharia de Software II.1,Linguagens Formais e Autônomas.1,Computação Orientada a Objetos II.1,,
13h30-14h25,Engenharia de Software II.2,Banco de Dados I.2,Redes de Computadores.1,,
14h25-15h20,Engenharia de Software II.2,Banco de Dados I.2,Redes de Computadores.1,,
15h45-16h40,Análise de Investimentos em Informática,Banco de Dados I.1,Redes de Computadores.2,,
16h40-17h35,Análise de Investimentos em Informática,Banco de Dados I.1,Redes de Computadores.2,,
17h35-18h30,Análise de Investimentos em Informática,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
